step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
19287,94.48,94.97,0.49,94.725,94.59924090071533,116,182,298,10,50,high_cancel,High Cancellation
19288,94.48,94.66,0.18,94.57,94.58661721765827,118,183,301,0,0,high_cancel,High Cancellation
19289,94.48,94.66,0.18,94.57,94.57689752712679,117,184,301,0,0,high_cancel,High Cancellation
19290,94.35,94.66,0.31,94.505,94.58414521404119,113,185,298,5,20,high_cancel,High Cancellation
19291,94.35,94.66,0.31,94.505,94.590204260974,113,188,301,0,0,high_cancel,High Cancellation
19292,94.48,94.88,0.4,94.68,94.58794805447653,114,183,297,8,38,high_cancel,High Cancellation
19293,94.48,94.76,0.28,94.62,94.58013135953067,115,185,300,0,0,high_cancel,High Cancellation
19294,94.48,95.01,0.53,94.745,94.5840041672712,117,178,295,8,44,high_cancel,High Cancellation
19295,94.48,94.65,0.17,94.565,94.61503764501487,117,180,297,0,0,high_cancel,High Cancellation
19296,94.34,94.65,0.31,94.495,94.57618405047394,115,180,295,6,19,high_cancel,High Cancellation
19297,94.34,95.09,0.75,94.715,94.60732218302451,115,173,288,10,46,high_cancel,High Cancellation
19298,94.56,94.7,0.14,94.63,94.62151576717294,116,175,291,0,0,high_cancel,High Cancellation
19299,94.56,94.7,0.14,94.63,94.59144868176978,118,176,294,0,0,high_cancel,High Cancellation
19300,94.56,95.04,0.48,94.80000000000001,94.62488830907999,120,175,295,2,15,high_cancel,High Cancellation
19301,94.34,95.04,0.7,94.69,94.63411399918249,115,176,291,7,38,high_cancel,High Cancellation
19302,94.33,94.76,0.43,94.545,94.60124044475941,113,178,291,4,17,high_cancel,High Cancellation
19303,94.6,94.76,0.16,94.68,94.61362036546186,116,178,294,0,0,high_cancel,High Cancellation
19304,94.6,94.7,0.1,94.65,94.62310821734319,117,180,297,0,0,high_cancel,High Cancellation
19305,94.62,94.97,0.35,94.795,94.65688777378634,118,177,295,5,29,high_cancel,High Cancellation
19306,94.62,95.09,0.47,94.855,94.67490626172724,119,174,293,6,24,high_cancel,High Cancellation
19307,94.55,95.09,0.54,94.82,94.69013175167,116,175,291,6,32,high_cancel,High Cancellation
19308,94.4,94.86,0.46,94.63,94.68328822753438,115,178,293,2,11,high_cancel,High Cancellation
19309,94.4,94.86,0.46,94.63,94.68539568531317,117,178,295,0,0,high_cancel,High Cancellation
19310,94.57,94.71,0.14,94.63999999999999,94.6476267361671,119,178,297,0,0,high_cancel,High Cancellation
19311,94.57,94.71,0.14,94.63999999999999,94.63608381373317,120,179,299,0,0,high_cancel,High Cancellation
19312,94.57,95.1,0.53,94.835,94.64250692749988,121,174,295,8,39,high_cancel,High Cancellation
