step,best_bid,best_ask,spread,mid_price,ref_price,num_buy_orders,num_sell_orders,total_orders,num_trades,volume_traded,experiment,experiment_label
16653,99.65,99.75,0.1,99.7,99.67461571715387,17054,16225,33279,0,0,balanced,Balanced Market
16654,99.65,99.75,0.1,99.7,99.66297585242849,17055,16224,33279,0,0,balanced,Balanced Market
16655,99.65,99.75,0.1,99.7,99.65404750771513,17052,16223,33275,3,10,balanced,Balanced Market
16656,99.65,99.8,0.15,99.725,99.67459530611619,17053,16216,33269,6,29,balanced,Balanced Market
16657,99.65,99.69,0.04,99.67,99.65117717002933,17054,16216,33270,0,0,balanced,Balanced Market
16658,99.65,99.69,0.04,99.67,99.65305973340364,17052,16219,33271,0,0,balanced,Balanced Market
16659,99.65,99.69,0.04,99.67,99.64052099590373,17045,16219,33264,6,36,balanced,Balanced Market
16660,99.65,99.81,0.16,99.73,99.67390230606958,17042,16215,33257,6,26,balanced,Balanced Market
16661,99.65,99.88,0.23,99.765,99.69586400955374,17042,16207,33249,7,35,balanced,Balanced Market
16662,99.65,99.8,0.15,99.725,99.69007246324497,17042,16206,33248,0,0,balanced,Balanced Market
16663,99.65,99.8,0.15,99.725,99.69244548133899,17041,16206,33247,0,0,balanced,Balanced Market
16664,99.65,99.8,0.15,99.725,99.66550698952716,17043,16204,33247,0,0,balanced,Balanced Market
16665,99.65,99.8,0.15,99.725,99.66402729162793,17040,16203,33243,4,16,balanced,Balanced Market
16666,99.65,99.8,0.15,99.725,99.6464087215959,17040,16202,33242,0,0,balanced,Balanced Market
16667,99.65,99.8,0.15,99.725,99.62373220768637,17034,16200,33234,7,36,balanced,Balanced Market
16668,99.65,99.74,0.09,99.695,99.61179869306345,17033,16200,33233,0,0,balanced,Balanced Market
16669,99.65,99.74,0.09,99.695,99.62988310467277,17031,16201,33232,0,0,balanced,Balanced Market
16670,99.65,99.74,0.09,99.695,99.65153996799096,17028,16200,33228,4,19,balanced,Balanced Market
16671,99.65,99.74,0.09,99.695,99.6338376439743,17025,16198,33223,2,8,balanced,Balanced Market
16672,99.65,99.74,0.09,99.695,99.63038866994367,17022,16197,33219,4,20,balanced,Balanced Market
16673,99.65,99.74,0.09,99.695,99.61979572407655,17015,16196,33211,8,31,balanced,Balanced Market
16674,99.65,99.67,0.02,99.66,99.61667820737173,17010,16196,33206,3,9,balanced,Balanced Market
16675,99.65,99.67,0.02,99.66,99.59729903248144,17012,16192,33204,0,0,balanced,Balanced Market
16676,99.65,99.74,0.09,99.695,99.58696132552473,17014,16189,33203,2,12,balanced,Balanced Market
16677,99.65,99.8,0.15,99.725,99.56956708319825,17015,16181,33196,6,25,balanced,Balanced Market
16678,99.65,99.89,0.24,99.77000000000001,99.5549903798472,17015,16169,33184,12,50,balanced,Balanced Market
16679,99.65,99.89,0.24,99.77000000000001,99.51757947197964,17011,16164,33175,8,43,balanced,Balanced Market
16680,99.65,99.99,0.34,99.82,99.5322724611018,17013,16158,33171,5,18,balanced,Balanced Market
16681,99.65,99.97,0.32,99.81,99.57063848087944,17007,16159,33166,6,31,balanced,Balanced Market
16682,99.65,99.71,0.06,99.68,99.561452378623,17005,16160,33165,0,0,balanced,Balanced Market
16683,99.65,99.71,0.06,99.68,99.53235401117246,17004,16159,33163,0,0,balanced,Balanced Market
16684,99.65,99.71,0.06,99.68,99.5295522752298,17007,16155,33162,0,0,balanced,Balanced Market
16685,99.65,99.71,0.06,99.68,99.51025457533406,17007,16154,33161,0,0,balanced,Balanced Market
16686,99.65,99.71,0.06,99.68,99.48507198095383,17003,16154,33157,4,23,balanced,Balanced Market
16687,99.65,99.71,0.06,99.68,99.49473051339349,17000,16153,33153,1,1,balanced,Balanced Market
16688,99.65,99.71,0.06,99.68,99.49557414669292,16998,16152,33150,2,7,balanced,Balanced Market
16689,99.65,99.71,0.06,99.68,99.47073674565114,17001,16149,33150,0,0,balanced,Balanced Market
16690,99.65,99.67,0.02,99.66,99.44198445048028,16993,16146,33139,9,39,balanced,Balanced Market
